state,Moisture,Vol,Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Total Sulfur,Sulfate S,Pyr S,Org S,Hocbtu
Alabama,1.89,34.17,8.16,5.23,76.11,1.77,5.69,3.04,0.13,1.65,1.26,13707
Alabama,2.6,38.08,13.83,5.12,67.76,1.46,8.82,3.01,0.06,2.04,0.91,12312
Alabama,1.4,31.3,16.9,4.6,69.4,1.4,4.7,3,0.01,2.58,0.41,12515
Alabama,2,29.4,28.9,4.3,56,1.2,6.7,3,0.04,2.18,0.79,9989
Alabama,1.9,34.5,15.2,5.1,68.4,1.6,6.8,3,0.02,1.85,1.11,12425
Alabama,2.29,32.39,13.19,4.79,70.33,1.42,7.27,3,0.19,1.86,0.95,12602
Alabama,2.3,40.2,7.4,5.6,74.4,1.7,7.8,3,0.01,2.37,0.66,13534
Alabama,2.3,37.7,14.2,5.2,67.8,1.7,8.2,3,0.02,1.73,1.24,12399
Alabama,3.4,33.6,19.1,4.8,61.5,1.4,10.3,3,0.09,1.6,1.29,11119
Alabama,49.6,21.1,15,7.3,24.1,0.4,50.2,3,0.53,0.9,1.6,4170
Alabama,2.53,34.45,10.46,5.12,71.6,1.69,8.14,2.99,0.18,1.56,1.25,12929
Alabama,1.41,36.47,10.58,5,72.35,1.68,7.44,2.95,0.07,1.99,0.89,13025
Alabama,4.79,36.87,12.88,5.28,65.87,1.69,11.37,2.91,0.22,1.98,0.71,11932
Alabama,0.6,26.2,5.3,5.1,81.7,1.5,3.5,2.9,0.01,1.9,0.96,14671
Alabama,1.8,36.2,12.4,5.2,71.8,1.7,6,2.9,0.02,2.58,0.3,13039
Alabama,1.5,31.6,19.2,4.6,65.9,1.4,6.1,2.9,0.05,2.1,0.72,11801
Alabama,1.4,30.5,18.9,4.6,66.1,1.4,6.1,2.9,0.01,2.44,0.47,11934
Alabama,1.2,33.4,19.2,4.6,65.8,1.4,6.2,2.9,0.01,2.25,0.6,11940
Alabama,1.6,33.2,18.9,4.9,65.6,1.5,6.3,2.9,0.02,2.17,0.73,11795
Alabama,1.7,37.7,19.9,5.1,64,1.5,6.7,2.9,0.03,2.3,0.56,11611
Alabama,2.2,36.8,11.8,5.2,71.8,1.6,6.7,2.9,0.01,2.26,0.61,12936
Alabama,2.5,29.5,22.8,4.5,61.6,1.5,6.8,2.9,0.02,2.65,0.23,11033
Alabama,2.42,29.98,25.56,4.26,58.19,1.28,7.81,2.9,0.25,1.71,0.94,10484
